,TP,TN,FP,FN,accuracy,recall,precision,F1-score,AUC-ROC
0,502.0,849.0,224.0,374.0,0.6931759715080261,0.5730593800544739,0.6914600729942322,0.6267166137695312,0.7325899943401124
1,480.0,878.0,246.0,344.0,0.697125256061554,0.582524299621582,0.6611570119857788,0.6193548440933228,0.7533438568911308
2,550.0,822.0,233.0,343.0,0.7043120861053467,0.6159014701843262,0.702426552772522,0.656324565410614,0.7555871629259697
3,496.0,835.0,209.0,408.0,0.6832649111747742,0.5486725568771362,0.7035461068153381,0.6165319681167603,0.746840881734649
4,513.0,823.0,231.0,379.0,0.6865364909172058,0.5751121044158936,0.6895161271095276,0.6271393895149231,0.7378011163962186
