,TP,TN,FP,FN,accuracy,recall,precision,F1-score,AUC-ROC
0,489.0,887.0,186.0,387.0,0.7060030698776245,0.5582191944122314,0.7244444489479065,0.6305609941482544,0.7716671560554413
1,473.0,932.0,192.0,351.0,0.7212525606155396,0.5740291476249695,0.7112782001495361,0.6353256702423096,0.7871192948208547
2,547.0,864.0,191.0,346.0,0.7243326306343079,0.6125419735908508,0.7411924004554749,0.6707541346549988,0.7930433121221931
3,509.0,881.0,163.0,395.0,0.7135523557662964,0.5630530714988708,0.757440447807312,0.64593905210495,0.783024785542332
4,515.0,888.0,166.0,377.0,0.720966100692749,0.5773542523384094,0.7562408447265625,0.65479975938797,0.7915425753695084
