,TP,TN,FP,FN,accuracy,recall,precision,F1-score,AUC-ROC
0,324.0,1367.0,113.0,145.0,0.8676244020462036,0.6908315420150757,0.7414187788963318,0.7152317762374878,0.9230831844637813
1,303.0,1398.0,105.0,142.0,0.8732032775878906,0.680898904800415,0.7426470518112183,0.7104337811470032,0.9239670471790503
2,271.0,1447.0,100.0,130.0,0.8819301724433899,0.6758104562759399,0.7304581999778748,0.7020725607872009,0.931824446640348
3,301.0,1398.0,101.0,148.0,0.8721765875816345,0.6703786253929138,0.7487562298774719,0.7074030041694641,0.9313395270194976
4,284.0,1432.0,111.0,119.0,0.8818088173866272,0.7047146558761597,0.7189873456954956,0.7117794156074524,0.9277727478133055
