,TP,TN,FP,FN,accuracy,recall,precision,F1-score,AUC-ROC
0,14.0,1464.0,16.0,455.0,0.7583376169204712,0.02985074557363987,0.46666666865348816,0.056112222373485565,0.6443201463723852
1,10.0,1480.0,23.0,435.0,0.7648870348930359,0.02247191034257412,0.3030303120613098,0.04184100404381752,0.65354085835819
2,15.0,1519.0,28.0,386.0,0.7874743342399597,0.03740648552775383,0.3488371968269348,0.06756757199764252,0.6527645011582226
3,13.0,1478.0,21.0,436.0,0.7654004096984863,0.028953230008482933,0.38235294818878174,0.05383022874593735,0.6345685542403177
4,26.0,1520.0,23.0,377.0,0.7944501638412476,0.06451612710952759,0.5306122303009033,0.1150442436337471,0.6699944840140939
