,TP,TN,FP,FN,accuracy,recall,precision,F1-score,AUC-ROC
0,148.0,1424.0,56.0,321.0,0.8065674901008606,0.3155650198459625,0.7254902124404907,0.439821720123291,0.8432526076182791
1,148.0,1440.0,63.0,297.0,0.8151950836181641,0.3325842618942261,0.7014217972755432,0.45121946930885315,0.8341713576592135
2,122.0,1482.0,65.0,279.0,0.8234086036682129,0.3042393922805786,0.6524063944816589,0.41496598720550537,0.8668334013060431
3,143.0,1450.0,49.0,306.0,0.8177617788314819,0.3184855282306671,0.7447916865348816,0.4461778402328491,0.8651602924592638
4,130.0,1493.0,50.0,273.0,0.8340185284614563,0.32258063554763794,0.7222222089767456,0.4459691047668457,0.8601150798692245
