,TP,TN,FP,FN,accuracy,recall,precision,F1-score,AUC-ROC
0,650.0,815.0,230.0,254.0,0.7516674995422363,0.7190265655517578,0.7386363744735718,0.7286996245384216,0.8238043570309522
1,615.0,816.0,251.0,266.0,0.7345995903015137,0.6980703473091125,0.7101616859436035,0.704064130783081,0.8053656969427474
2,634.0,815.0,241.0,258.0,0.7438398599624634,0.7107623219490051,0.7245714068412781,0.7176004648208618,0.8248578483829325
3,610.0,849.0,237.0,252.0,0.7489733099937439,0.7076566219329834,0.7201889157295227,0.7138678431510925,0.8153802027919139
4,611.0,867.0,228.0,240.0,0.7595067024230957,0.717978835105896,0.7282479405403137,0.7230768799781799,0.8368521588890857
