,TP,TN,FP,FN,accuracy,recall,precision,F1-score,AUC-ROC
0,636.0,824.0,221.0,268.0,0.7491021156311035,0.7035398483276367,0.7421236634254456,0.7223168611526489,0.8150246644366346
1,594.0,834.0,233.0,287.0,0.7330595254898071,0.6742338538169861,0.7182587385177612,0.6955503821372986,0.8031450160474114
2,609.0,844.0,212.0,283.0,0.7458932399749756,0.6827354431152344,0.7417783141136169,0.711033284664154,0.8177805238483491
3,596.0,861.0,225.0,266.0,0.7479466199874878,0.6914153099060059,0.7259439826011658,0.7082590460777283,0.8071692880918503
4,588.0,882.0,213.0,263.0,0.7553957104682922,0.6909518241882324,0.7340824007987976,0.7118643522262573,0.8289119971669108
