,TP,TN,FP,FN,accuracy,recall,precision,F1-score,AUC-ROC
0,614.0,817.0,228.0,290.0,0.7342226505279541,0.6792035102844238,0.7292161583900452,0.7033218741416931,0.7981893339543549
1,543.0,841.0,226.0,338.0,0.7104722857475281,0.6163450479507446,0.7061118483543396,0.6581818461418152,0.780074402118237
2,578.0,858.0,198.0,314.0,0.7371663451194763,0.6479820609092712,0.7448453903198242,0.6930455565452576,0.8080087945033292
3,540.0,872.0,214.0,322.0,0.7248460054397583,0.6264501214027405,0.7161803841590881,0.6683168411254883,0.7954257519238741
4,556.0,886.0,209.0,295.0,0.7410072088241577,0.653348982334137,0.7267974019050598,0.6881188154220581,0.806868095015802
