,TP,TN,FP,FN,accuracy,recall,precision,F1-score,AUC-ROC
0,132.0,1365.0,115.0,337.0,0.7680861949920654,0.2814498841762543,0.5344129800796509,0.3687150776386261,0.7356271249927967
1,123.0,1385.0,118.0,322.0,0.7741273045539856,0.2764045000076294,0.5103734731674194,0.3586006164550781,0.7328055499487915
2,109.0,1418.0,129.0,292.0,0.783880889415741,0.27182045578956604,0.45798319578170776,0.34115806221961975,0.7383778756083288
3,126.0,1376.0,123.0,323.0,0.7710472345352173,0.2806236147880554,0.5060241222381592,0.36103153228759766,0.7351062549494763
4,128.0,1417.0,126.0,275.0,0.7939362525939941,0.31761786341667175,0.5039370059967041,0.389649897813797,0.7406947890818858
