,TP,TN,FP,FN,accuracy,recall,precision,F1-score,AUC-ROC
0,541.0,871.0,202.0,335.0,0.7244740724563599,0.6175799369812012,0.7281292080879211,0.6683138608932495,0.7809761816611132
1,524.0,913.0,211.0,300.0,0.737679660320282,0.6359223127365112,0.7129251956939697,0.6722257733345032,0.8044534732059565
2,585.0,862.0,193.0,308.0,0.7428131699562073,0.6550951600074768,0.7519280314445496,0.7001795172691345,0.8181586112098842
3,549.0,859.0,185.0,355.0,0.7227926254272461,0.607300877571106,0.747956395149231,0.6703296303749084,0.7962000517071847
4,574.0,875.0,179.0,318.0,0.7446042895317078,0.6434977650642395,0.7622842192649841,0.6978723406791687,0.8075913028309833
