,TP,TN,FP,FN,accuracy,recall,precision,F1-score,AUC-ROC
0,625.0,800.0,245.0,279.0,0.7311441898345947,0.6913716793060303,0.7183908224105835,0.7046223282814026,0.7996750222297497
1,569.0,839.0,228.0,312.0,0.7227926254272461,0.6458569765090942,0.7139272093772888,0.6781883239746094,0.7861678441151159
2,587.0,846.0,210.0,305.0,0.7356262803077698,0.658071756362915,0.7365119457244873,0.695085883140564,0.8113895400190243
3,568.0,852.0,234.0,294.0,0.7289527654647827,0.6589326858520508,0.7082294225692749,0.682692289352417,0.7973822067828041
4,578.0,888.0,207.0,273.0,0.7533401846885681,0.6792009472846985,0.7363057136535645,0.7066015005111694,0.8240587222123851
